Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Andreas Christensen,Chelsea,21,Defender,76,68,72,72,82,32,62,83,12,8,2,0,9,1,0,1,0,0,44,0,31,2.7419354839,3,1,7,1,0,0,0,0,43,1,31,2.7419354839
Angel Rangel,Swansea City,34,Defender,70,73,71,75,82,65,71,78,16,6,1,0,1,1,0,1,0,0,39,0,18,0.7222222222,0,0,4,6,0,4,0,0,33,0,23,1.7391304347999998
Angelo Obinze Ogbonna,West Ham United,29,Defender,68,61,67,59,82,30,50,80,3,4,0,0,4,2,0,1,0,0,31,0,20,2.0,0,0,9,5,0,2,0,0,35,0,28,2.5357142857
Anthony Walongwa,FC Nantes,23,Defender,53,27,48,57,65,39,29,67,16,15,0,0,0,1,0,1,0,0,4,0,3,1.6666666666999999,0,0,0,0,0,0,0,0,2,0,1,1.0
Antonio Rudiger,Chelsea,24,Defender,70,59,65,68,79,33,57,82,15,8,0,2,9,7,1,2,0,0,25,0,26,2.9615384614999996,2,0,8,4,0,0,0,0,30,0,30,2.9666666667
Antonio Rukavina,Villarreal CF,33,Defender,73,65,70,71,80,66,59,76,6,7,0,0,1,2,0,0,0,0,2,0,4,2.75,0,0,7,5,0,0,0,0,19,0,18,2.7222222222
Archimede Morleo,Bari,33,Defender,70,66,68,68,72,60,54,61,9,14,0,0,0,0,0,0,0,0,0,0,1,3.0,0,0,1,0,0,3,0,0,3,0,5,3.4
Arlind Ajeti,Crotone,23,Defender,54,42,52,53,67,31,46,69,10,12,1,0,0,0,0,1,0,0,8,1,4,1.25,1,0,4,5,1,1,0,0,28,0,16,1.8125
Arnold Bouka Moutou,Dijon FCO,28,Defender,69,67,58,72,68,58,49,73,6,13,0,0,1,3,0,0,0,0,20,0,10,0.9,2,0,4,2,0,4,0,0,23,1,23,2.4782608696
Ashley Williams,Everton,32,Defender,71,57,74,66,82,28,53,79,10,10,1,3,13,7,1,0,0,0,41,0,36,3.0277777778,2,2,9,8,0,0,0,0,50,0,36,2.5833333333
Aymen Abdennour,Olympique de Marseille,27,Defender,58,48,62,51,75,53,53,78,8,15,0,0,1,4,0,2,0,0,24,0,13,0.8461538462,0,0,3,4,0,2,0,0,24,0,21,2.0952380952
Aymeric Laporte,Athletic Club de Bilbao,23,Defender,73,55,78,71,85,54,52,86,11,5,2,0,9,10,0,2,0,0,39,0,33,2.6363636364,3,1,7,8,1,1,0,0,35,1,26,2.6538461538
Aytac Sulu,SV Darmstadt 98,31,Defender,55,51,63,65,72,47,31,72,6,12,2,0,2,7,0,0,0,0,55,1,28,1.25,7,0,8,6,0,0,0,0,50,2,33,2.9090909091
Bakary Kone,RC Strasbourg,29,Defender,61,41,62,55,74,41,41,69,10,8,0,0,1,2,0,1,0,0,10,0,7,1.7142857143,0,0,1,1,0,0,0,0,11,0,6,1.1666666667
Bastian Oczipka,FC Schalke 04,28,Defender,74,73,73,74,75,63,59,74,14,10,1,4,10,5,0,2,0,0,40,0,33,3.0909090909,0,0,6,7,0,0,0,0,47,0,30,1.8
Ben Davies,Tottenham Hotspur,24,Defender,77,73,68,77,77,65,70,80,7,14,1,3,8,1,0,1,0,0,14,0,23,3.9130434782999997,0,2,5,3,0,0,0,0,20,0,17,2.7058823529000002
Benedikt Howedes,Juventus,29,Defender,73,60,64,68,83,51,57,84,6,7,1,1,8,7,0,0,0,0,36,0,31,2.6451612903,1,0,1,4,0,1,0,0,20,0,15,1.8
Benjamin Hubner,TSG 1899 Hoffenheim,27,Defender,57,58,49,63,79,41,51,82,8,16,2,3,8,10,0,6,0,0,25,0,25,3.36,1,0,9,7,0,2,0,0,37,0,30,2.6
Benjamin Mendy,Manchester City,22,Defender,76,76,68,76,76,70,58,73,7,9,0,5,10,6,1,3,0,0,19,0,25,3.72,1,1,6,7,1,1,0,0,23,0,24,2.625
Benoit Assou-Ekotto,FC Metz,33,Defender,73,70,76,73,72,61,67,68,16,14,0,1,4,1,1,0,0,0,29,0,18,1.9444444444,0,0,9,1,0,1,0,0,20,0,20,3.25
