Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Eric Bailly,Manchester United,23,Defender,72,63,56,68,85,47,54,82,14,8,0,0,12,4,0,3,0,0,19,0,25,3.52,0,0,6,10,0,6,0,0,28,0,25,2.28
Erick Pulgar,Bologna,23,Defender,76,72,72,76,68,58,72,60,12,11,1,1,3,6,1,4,0,0,40,0,25,1.48,0,0,1,2,0,1,0,0,19,0,13,1.2307692308
Erik Durm,Borussia Dortmund,25,Defender,72,64,51,72,76,68,60,70,14,11,0,2,4,1,0,2,0,0,14,0,13,3.0769230769,1,1,5,2,0,3,0,0,10,0,14,3.6428571429
Erik Pieters,Stoke City,28,Defender,75,64,60,73,77,61,61,77,15,10,0,1,10,4,0,0,0,0,52,0,36,2.3333333333,0,1,10,10,0,3,0,0,46,0,35,2.3428571429
Ermin Bicakcic,TSG 1899 Hoffenheim,27,Defender,63,35,59,58,74,33,41,76,11,12,1,0,4,4,0,3,0,0,23,0,18,2.1111111111,0,0,2,3,0,2,0,0,35,0,21,1.380952381
Ermir Lenjani,FC Sion,27,Defender,69,67,62,67,63,65,64,67,6,16,0,0,0,0,0,0,0,0,1,0,2,2.0,1,1,4,2,1,1,0,0,32,0,21,1.9523809524000002
Ervin Zukanovic,Genoa,30,Defender,66,50,66,63,73,38,51,76,12,11,0,0,3,1,0,2,0,0,24,0,19,2.1578947368,3,1,1,7,1,4,0,0,38,1,25,1.64
Ezequiel Munoz,CD Leganes,26,Defender,58,38,55,53,69,21,29,75,11,12,0,0,4,3,0,3,0,0,48,1,30,1.5,0,0,7,7,0,3,0,0,17,0,18,2.8888888889
Fabian Holland,SV Darmstadt 98,26,Defender,64,63,62,70,63,47,47,77,13,13,0,0,3,2,0,4,0,0,48,1,26,1.2692307692,0,0,4,5,0,3,0,0,28,0,17,1.7058823529
Fabian Johnson,Borussia Monchengladbach,29,Defender,79,79,72,77,65,78,74,70,7,15,3,2,3,1,0,6,0,0,30,0,21,2.6666666667,6,4,4,2,0,6,0,0,35,0,26,3.6923076923
Fabian Schar,RC Deportivo de La Coruna,25,Defender,74,65,74,69,73,61,68,71,9,15,0,0,0,2,0,2,0,0,10,0,6,0.6666666667,1,0,3,3,0,4,0,0,41,1,24,1.5
Fabinho,AS Monaco,23,Defender,82,75,74,80,83,68,72,79,12,8,9,2,16,8,0,1,0,0,31,0,37,4.5135135135,6,4,13,9,0,0,0,0,42,0,34,3.8823529412
Fabio Coentrao,Sporting CP,29,Defender,75,81,69,72,80,65,69,72,13,14,0,1,1,0,0,1,0,0,2,0,3,4.3333333333,3,2,4,4,0,5,0,0,18,0,15,3.7333333332999996
Fabrizio Cacciatore,Chievo Verona,30,Defender,65,61,65,61,74,60,48,75,14,5,1,2,6,6,1,2,0,0,47,0,29,2.0689655172,1,3,10,6,0,1,0,0,32,0,29,3.1379310344999998
Facundo Roncaglia,RC Celta de Vigo,30,Defender,69,59,81,69,80,51,59,75,14,15,2,0,5,8,0,1,0,0,57,0,32,1.6875,1,0,9,9,0,4,0,0,35,0,30,2.5
Fallou Diagne,FC Metz,27,Defender,67,65,65,68,73,43,56,71,15,11,0,0,3,3,1,4,0,0,32,0,14,-0.2916666667,5,0,3,7,0,2,0,0,33,1,22,2.5454545455
Faouzi Ghoulam,Napoli,26,Defender,76,76,72,78,75,64,58,74,7,13,0,6,8,1,0,0,0,0,34,0,29,3.1379310344999998,0,3,13,3,0,2,0,0,27,0,34,3.5
Federico Fazio,Roma,30,Defender,64,48,62,72,83,32,47,85,9,14,2,1,12,3,0,3,0,0,36,0,37,3.2702702702999997,0,0,0,1,0,0,0,0,6,0,4,0.625
Federico Fernandez,Swansea City,28,Defender,70,39,56,66,82,36,44,82,12,12,0,2,6,7,0,0,0,0,41,0,27,2.1111111111,1,1,8,3,0,0,0,0,44,2,32,2.34375
Federico Peluso,Sassuolo,33,Defender,62,59,62,60,82,50,38,79,5,4,2,1,7,12,0,0,0,0,54,0,34,2.0294117647,1,1,8,11,0,1,0,0,39,0,34,2.4705882353
Federico Ricca,Malaga CF,22,Defender,69,52,56,69,73,43,42,72,13,8,0,0,6,6,0,5,0,0,28,0,21,2.1904761905,1,1,0,3,0,1,0,0,7,0,8,2.75
Fernando Navarro,RC Deportivo de La Coruna,35,Defender,69,64,65,69,77,59,56,81,6,6,0,0,6,6,0,1,0,0,42,0,25,1.68,0,2,5,5,0,8,0,0,58,0,36,1.8611111111
Filip Helander,Bologna,24,Defender,50,48,48,50,76,24,45,76,8,16,1,0,1,3,0,1,0,0,15,0,11,1.9090909091,2,0,1,4,0,2,0,0,43,0,24,1.5
Filip Mladenovic,Standard de Liege,25,Defender,68,66,49,68,69,61,48,70,8,14,0,0,0,0,0,0,0,0,1,0,2,2.0,0,2,1,1,0,6,0,0,20,0,14,1.8571428571000002
Filipe Luis,Atletico Madrid,31,Defender,78,77,77,81,82,71,70,85,15,5,3,6,16,5,0,3,0,0,23,0,34,4.6176470588,1,4,19,10,1,0,0,0,17,0,32,4.375
Florentin Pogba,AS Saint-Etienne,26,Defender,67,54,58,59,77,36,42,75,10,11,1,1,6,1,0,1,0,0,18,0,17,3.4117647058999996,0,1,7,1,0,2,0,0,29,0,24,2.6666666667
Francois Bellugou,ES Troyes AC,30,Defender,70,64,64,71,72,56,66,72,7,15,0,0,2,5,1,10,0,0,41,0,26,1.0384615385,0,1,5,6,1,10,0,0,49,0,33,1.6969696969999999
Francois Moubandje,Toulouse FC,27,Defender,71,70,67,71,74,69,57,77,14,6,0,1,11,4,0,2,0,0,33,0,34,3.0,0,0,5,5,0,0,0,0,33,0,23,1.8695652174000001
Frederic Guilbert,SM Caen,22,Defender,70,65,61,68,73,59,56,74,14,7,0,1,4,4,0,5,0,0,39,0,26,1.9615384615,0,0,7,3,0,2,0,0,48,1,30,1.9333333333000002
Gabriel Paletta,Milan,31,Defender,55,55,61,55,84,28,18,84,6,14,2,1,10,6,2,0,0,0,35,1,30,2.7666666667000004,1,0,5,6,2,1,0,0,33,0,24,2.0
Gabriel Paulista,Valencia CF,26,Defender,69,60,69,65,81,51,61,80,6,7,0,0,5,6,0,2,0,0,25,0,19,1.9473684211000002,1,0,10,4,1,0,0,0,18,0,21,3.380952381
Gael Clichy,Istanbul Basaksehir FK,31,Defender,66,71,69,76,76,66,59,72,11,6,1,0,8,2,0,3,0,0,26,0,25,3.0,0,1,5,0,0,2,0,0,13,0,14,3.2857142857
Gaetan Bussmann,1. FSV Mainz 05,26,Defender,62,61,61,66,77,51,48,74,9,10,0,1,3,1,1,1,0,0,22,0,14,1.8571428571000002,1,0,4,3,0,0,0,0,13,0,13,3.0769230769
Gareth McAuley,West Bromwich Albion,37,Defender,53,27,50,66,77,45,52,78,11,13,6,1,6,5,0,3,0,0,46,1,36,2.9166666667000003,1,0,10,4,1,0,0,0,41,1,34,2.5294117647
Gary Cahill,Chelsea,31,Defender,65,58,61,63,83,45,56,84,12,12,6,0,15,5,0,1,0,0,30,1,37,4.0,2,1,2,2,0,0,0,0,39,1,23,1.8260869565
Gaston Silva,Independiente,23,Defender,66,65,59,69,75,47,49,66,7,10,0,0,1,6,0,2,0,0,49,0,22,0.5,0,1,0,3,0,4,0,0,21,0,12,1.1666666667
Geoff Cameron,Stoke City,31,Defender,73,69,66,70,78,62,70,76,16,14,0,1,6,1,0,0,0,0,29,0,19,2.4736842105,0,0,4,0,1,5,0,0,42,0,30,1.9333333333000002
Georg Niedermeier,SC Freiburg,31,Defender,35,28,36,29,56,39,41,69,10,8,1,0,0,0,0,0,0,0,9,0,7,1.8571428571000002,3,1,2,5,0,1,0,0,36,2,18,1.6111111111
German Pezzella,Fiorentina,26,Defender,60,47,54,66,79,58,22,78,9,15,1,0,7,10,0,3,0,0,60,0,36,1.8333333333000001,3,1,6,8,0,1,0,0,41,0,25,2.4
Giancarlo Gonzalez,Bologna,29,Defender,60,59,60,60,77,37,45,78,10,12,1,0,0,7,1,1,0,0,41,0,20,0.65,2,0,9,12,0,1,0,0,59,1,35,1.9428571429
Giorgio Chiellini,Juventus,32,Defender,59,58,59,57,88,28,50,92,3,3,2,2,8,4,0,4,0,0,14,0,21,4.0952380952,1,0,9,5,0,4,0,0,15,0,24,3.5416666667000003
Giulio Donati,1. FSV Mainz 05,27,Defender,68,65,71,70,75,49,51,75,15,8,0,0,5,4,0,3,0,0,53,0,32,1.6875,0,2,6,8,1,4,0,0,21,0,23,2.6956521738999997
Giuseppe Pezzella,Udinese,19,Defender,57,65,45,69,63,57,37,62,14,13,0,0,1,1,0,1,0,0,25,0,10,0.6,0,0,1,0,0,2,0,0,21,0,9,0.8888888889
Glen Johnson,Stoke City,32,Defender,75,78,70,77,68,69,69,75,7,7,0,0,6,1,0,0,0,0,35,0,23,2.1739130435,0,3,9,1,0,2,0,0,30,0,25,3.2
Gojko Kacar,FC Augsburg,30,Defender,74,62,67,71,74,57,72,67,10,15,0,1,1,1,0,6,0,0,34,0,22,1.3636363636000002,1,0,4,3,0,5,0,0,22,0,19,2.3157894737
Gonzalo Escalante,SD Eibar,24,Defender,75,70,66,73,80,61,71,73,12,11,2,1,3,9,1,9,0,0,42,0,30,1.8666666666999998,3,1,6,15,0,9,0,0,56,0,34,1.9411764706
Gonzalo Rodriguez,San Lorenzo de Almagro,33,Defender,70,62,74,70,83,32,64,82,4,9,1,0,8,7,1,3,0,0,34,0,26,2.5,4,0,13,8,0,1,0,0,39,0,35,3.3428571429000002
Gotoku Sakai,Hamburger SV,26,Defender,72,69,69,73,69,58,60,73,15,13,1,2,5,7,0,0,0,0,64,0,34,1.6176470588,0,1,4,2,0,1,0,0,30,0,22,2.1818181818
Guglielmo Stendardo,Pescara,36,Defender,48,30,52,44,75,28,24,73,9,6,0,0,1,1,0,2,0,0,27,0,10,0.5,1,0,4,3,0,1,0,0,14,0,15,2.9333333333
Gustavo Cabral,RC Celta de Vigo,31,Defender,74,49,59,61,80,40,49,82,7,11,2,1,3,6,0,2,0,0,54,0,25,1.52,0,0,9,11,1,1,0,0,38,0,31,2.1935483871
Hector,Deportivo Alaves,26,Defender,66,72,56,72,68,57,47,66,9,9,0,2,1,2,0,6,0,0,26,0,17,1.8235294118,0,1,1,1,0,1,0,0,18,0,13,1.6153846154
Hector Bellerin,Arsenal,22,Defender,75,76,59,79,78,67,63,75,14,12,1,4,10,4,0,1,0,0,39,0,33,3.0,1,7,18,3,0,0,0,0,33,0,36,4.2222222222
Henri Bedimo,Olympique de Marseille,33,Defender,70,67,66,73,70,62,63,66,13,14,0,0,5,2,0,2,0,0,16,0,16,2.8125,0,0,4,0,0,3,0,0,23,0,18,2.2777777778
Hiroki Sakai,Olympique de Marseille,27,Defender,66,64,62,63,74,74,60,76,8,9,0,2,15,5,0,2,0,0,40,0,35,3.1714285714,1,0,1,1,0,0,0,0,51,0,26,1.3076923077
Holger Badstuber,VfB Stuttgart,28,Defender,75,44,77,64,80,41,67,77,12,8,0,0,2,1,0,2,0,0,14,0,11,2.0909090909,0,0,3,0,0,1,0,0,1,0,7,4.2857142857
Hugo Mallo,RC Celta de Vigo,26,Defender,70,69,68,80,80,46,64,75,9,15,2,1,4,8,1,0,0,0,44,0,23,1.6956521739,1,4,9,8,0,2,0,0,55,0,34,2.4411764706
Iago Falque,Torino,27,Defender,80,84,72,85,26,80,78,35,5,7,12,7,1,2,0,16,0,1,61,0,35,3.5142857143,2,2,1,1,0,10,0,0,23,0,22,2.5454545455
Inigo Martinez,Real Sociedad,26,Defender,74,53,77,70,82,48,46,85,16,11,3,2,9,10,0,1,0,0,49,1,34,2.5882352941,1,0,10,7,0,0,0,0,39,0,30,2.6333333333
Ismael Diomande,SM Caen,24,Defender,75,69,67,70,73,32,58,72,8,9,0,0,2,3,0,2,0,0,18,0,12,1.5,0,0,1,2,0,4,0,0,15,0,13,1.8461538462
Ismael Traore,Angers SCO,30,Defender,67,35,65,68,75,21,53,77,10,15,1,1,6,3,0,3,0,0,44,1,32,2.25,1,0,15,2,1,1,0,0,34,0,34,3.3529411765
Issa Cissokho,Amiens SC Football,32,Defender,65,69,69,71,70,71,56,66,11,12,0,2,4,2,1,1,0,0,17,0,13,1.3846153846,0,1,1,1,0,1,0,0,18,0,13,1.5384615385
Issa Diop,Toulouse FC,20,Defender,64,39,59,60,75,35,40,78,7,9,2,2,9,9,0,0,0,0,31,0,30,3.1,1,0,8,4,1,0,0,0,24,0,21,2.9047619048000004
Ivan Ramis,SD Eibar,32,Defender,72,53,75,67,81,52,50,74,15,11,3,0,2,6,0,6,0,0,26,0,22,2.6363636364,0,1,4,7,1,3,0,0,35,0,23,1.6086956522
Ivan Strinic,Sampdoria,29,Defender,71,71,66,75,75,70,59,77,8,10,0,2,4,3,0,4,0,0,9,0,12,3.5,0,0,1,0,0,1,0,0,5,0,5,2.4
James Collins,West Ham United,33,Defender,59,38,65,53,76,34,54,74,12,11,2,0,6,3,0,1,0,0,37,0,22,2.3181818182,0,0,5,3,1,1,0,0,18,0,19,2.4210526316
James Tomkins,Crystal Palace,28,Defender,63,50,60,58,74,45,50,75,8,14,3,0,3,4,0,5,0,0,37,0,24,2.375,0,0,8,3,0,6,0,0,31,0,25,2.52
Jan Vertonghen,Tottenham Hotspur,30,Defender,79,69,74,74,86,60,68,84,10,7,0,0,13,5,0,3,0,0,21,0,33,3.4545454545,0,0,9,5,0,1,0,0,29,1,29,2.6551724138
Jannik Vestergaard,Borussia Monchengladbach,24,Defender,69,49,80,56,79,46,50,74,11,10,4,1,8,1,0,1,0,0,49,0,34,2.8235294118,2,0,2,2,0,0,0,0,64,0,33,1.4848484847999999
Jaume Costa,Villarreal CF,29,Defender,78,69,65,78,78,66,57,76,11,14,1,3,12,13,0,1,0,0,29,0,31,3.2580645161,1,1,7,8,0,1,0,0,15,0,18,3.2777777778
Javi Martinez,FC Bayern Munich,28,Defender,75,62,74,71,86,57,74,84,12,8,1,1,13,5,0,4,0,0,10,0,25,4.36,1,1,5,2,0,1,0,0,9,0,16,3.6875
Jeffrey Gouweleeuw,FC Augsburg,25,Defender,67,60,76,64,82,61,71,77,7,7,2,1,5,4,0,2,0,0,25,0,19,2.9473684211,0,0,4,2,1,0,0,0,15,0,11,2.2727272727
Jeison Murillo,Valencia CF,25,Defender,61,58,62,64,78,45,54,80,13,14,0,1,6,6,0,4,0,0,29,0,27,2.4074074074,2,1,11,6,0,2,0,0,33,1,34,3.1176470588
Jemerson,AS Monaco,24,Defender,70,54,60,63,82,26,46,79,15,10,2,0,15,8,0,0,0,0,29,0,34,3.5294117647000003,0,0,1,2,0,0,0,0,11,0,4,0.25
Jens Hegeler,Bristol City,29,Defender,71,69,73,71,69,67,68,72,15,8,0,0,1,0,0,0,0,0,6,0,6,2.1666666667,0,1,0,1,0,3,0,0,14,0,16,2.0
Jeremy Mathieu,Sporting CP,33,Defender,69,59,77,65,82,53,42,79,14,5,1,0,5,0,0,2,0,0,12,1,13,3.3846153846,0,2,2,2,0,4,0,0,19,1,21,2.3333333333
Jeremy Morel,Olympique Lyonnais,33,Defender,72,58,67,67,75,60,55,74,8,11,0,4,7,3,0,3,0,0,34,0,29,2.9310344828,0,1,10,3,0,3,0,0,36,0,31,2.7419354839
Jeremy Pied,Southampton,28,Defender,77,75,75,75,73,67,67,71,9,7,0,0,0,0,0,0,0,0,3,0,4,1.75,0,3,10,10,0,1,0,0,31,0,34,2.9705882352999997
Jeremy Sorbon,En Avant de Guingamp,33,Defender,66,30,56,64,77,42,52,79,15,13,1,0,8,1,0,1,0,0,44,0,33,2.5151515152,2,0,13,2,0,1,0,0,44,1,34,3.0
Jeremy Toljan,Borussia Dortmund,22,Defender,72,68,60,70,73,56,48,74,13,12,1,1,3,1,0,3,0,0,25,0,20,2.35,1,0,2,0,0,0,0,0,28,1,18,1.8333333333000001
Jerome Boateng,FC Bayern Munich,28,Defender,75,67,80,71,83,47,76,88,12,5,0,1,2,1,0,4,0,0,12,0,13,2.6923076923,0,3,4,4,0,8,0,0,11,0,19,3.5263157895
Joao Cancelo,Inter,23,Defender,78,82,73,79,69,80,66,74,9,14,1,4,2,6,0,5,0,0,63,0,36,1.6111111111,1,3,5,6,0,4,0,0,37,0,28,2.4285714286
Joel Matip,Liverpool,25,Defender,77,65,74,71,85,51,72,83,15,10,1,0,9,3,0,0,0,0,29,0,29,2.9310344828,3,3,8,3,0,0,0,0,49,0,34,2.8823529412
Joel Ward,Crystal Palace,27,Defender,68,64,69,67,77,64,66,76,7,11,0,1,7,7,0,1,0,0,63,0,38,1.7894736841999999,2,1,6,4,0,1,0,0,42,0,30,2.5
Johan Djourou,Antalyaspor,30,Defender,29,29,68,43,75,44,46,73,15,14,0,0,2,6,0,0,0,1,31,0,15,0.7333333333,2,0,6,7,0,1,0,0,33,0,26,2.5769230769
Johannes Geis,Sevilla FC,23,Defender,77,64,85,75,74,69,78,73,15,8,0,0,4,4,0,10,0,0,17,0,18,2.5555555556,2,5,7,4,1,9,0,0,39,0,28,3.0
John Anthony Brooks,VfL Wolfsburg,24,Defender,71,65,72,62,80,40,57,79,7,10,2,0,7,5,0,1,0,0,35,0,24,2.625,1,2,9,3,0,0,0,0,23,0,23,3.4347826087
John O'Shea,Sunderland,36,Defender,61,46,57,63,75,32,55,76,14,14,0,1,3,5,0,5,0,0,48,0,28,1.5714285713999998,0,0,1,2,0,3,0,0,42,0,28,1.5
John Stones,Manchester City,23,Defender,80,69,71,77,76,48,59,80,15,8,0,0,4,1,0,3,0,0,33,0,27,2.1111111111,0,0,8,3,0,2,0,0,51,0,33,2.0303030303
John Terry,Aston Villa,36,Defender,66,45,64,59,78,38,59,81,5,8,1,0,1,1,0,1,0,0,10,0,9,2.5555555556,1,0,6,2,1,3,0,0,38,1,24,2.0416666667
Jon Flanagan,Liverpool,24,Defender,66,67,63,73,68,52,48,75,13,15,0,0,1,2,0,1,0,0,5,0,6,2.1666666667,0,1,2,1,0,1,0,0,5,0,5,3.6
Jonas Hector,1. FC Koln,27,Defender,80,74,75,81,81,62,72,77,10,14,1,3,10,6,0,0,0,0,39,0,33,2.9696969697,0,4,8,3,0,1,0,0,39,0,32,2.8125
Jonas Olsson,Djurgardens IF,34,Defender,62,47,58,56,79,50,55,74,12,11,0,0,1,3,0,1,0,0,15,0,7,0.8571428570999999,1,1,5,5,0,6,0,0,34,1,28,2.3214285714
Jonathan Martins Pereira,En Avant de Guingamp,31,Defender,71,69,67,70,68,68,52,70,10,14,0,0,2,4,0,2,0,0,19,0,13,1.6153846154,0,4,7,8,0,5,0,0,45,0,27,2.3333333333
Jonathan Tah,Bayer 04 Leverkusen,21,Defender,74,55,69,64,80,27,61,82,8,14,1,1,3,1,0,0,0,0,34,0,19,1.8947368421000002,0,0,13,2,0,1,0,0,31,0,30,3.2
Jonjoe Kenny,Everton,20,Defender,57,50,50,52,55,35,46,59,13,15,0,0,0,0,0,0,0,0,1,0,1,1.0,0,0,0,0,0,0,0,0,0,0,1,3.0
Jonny,RC Celta de Vigo,23,Defender,66,65,59,72,76,53,55,80,10,6,0,3,4,8,0,0,0,0,57,0,30,1.3666666666999998,1,4,8,9,1,4,0,0,58,1,36,2.0833333333
Jonny Evans,West Bromwich Albion,29,Defender,72,39,62,70,81,28,55,78,16,8,2,1,4,8,0,2,0,0,41,0,31,2.1935483871,1,1,7,4,0,3,0,0,37,0,30,2.6333333333
Jordan Adeoti,AJ Auxerre,28,Defender,65,44,67,66,74,60,65,72,7,6,0,0,5,3,0,2,0,0,51,0,27,1.4444444444,0,0,3,6,0,3,0,0,44,0,32,1.40625
Jordi Alba,FC Barcelona,28,Defender,79,80,70,83,83,77,68,81,15,13,1,6,6,4,0,2,0,0,27,0,26,3.2692307692,0,6,13,2,0,4,0,0,20,0,31,4.1935483871
Jordi Amat,Real Betis Balompie,25,Defender,68,50,52,65,71,30,59,78,6,8,0,0,2,5,0,0,0,0,38,0,17,0.7058823529000001,0,0,0,0,0,1,0,0,6,0,8,2.125
Jorge Mere,1. FC Koln,20,Defender,72,37,62,69,79,25,34,80,12,8,0,0,5,7,1,0,0,0,58,1,31,1.1935483870999999,0,0,3,6,0,2,0,0,39,0,25,1.52
Joris Gnagnon,Stade Rennais FC,20,Defender,63,54,47,69,76,35,34,76,6,6,1,0,8,2,0,3,0,0,29,0,27,2.9629629630000003,0,0,0,1,0,1,0,0,13,0,7,0.2857142857
Jose Fonte,West Ham United,33,Defender,62,58,56,62,81,40,55,78,11,6,0,0,11,4,0,1,0,0,49,0,33,2.3939393938999998,2,0,11,4,1,3,0,0,40,0,37,2.9189189188999998
Jose Holebas,Watford,33,Defender,73,73,69,75,68,69,54,78,13,16,2,4,6,14,0,5,0,0,61,0,33,1.9696969697,0,0,1,2,0,1,0,0,16,0,11,1.7272727273
Jose Maria Gimenez,Atletico Madrid,22,Defender,68,47,58,56,85,24,27,85,11,15,0,0,5,5,0,3,0,0,6,0,17,3.3529411765,1,1,15,8,0,0,0,0,16,0,27,4.0740740741
Juan Camilo Zuniga,Napoli,31,Defender,74,80,70,78,68,70,64,66,13,9,1,0,0,1,0,5,0,0,34,0,21,1.0952380952,0,1,0,0,0,1,0,0,13,0,9,1.5555555556
Junior Caicara,Istanbul Basaksehir FK,28,Defender,75,76,65,76,70,72,63,71,12,16,0,0,0,1,0,0,0,0,5,0,3,0.3333333333,0,3,4,7,0,5,0,0,36,0,23,2.0434782609
Kalidou Koulibaly,Napoli,26,Defender,59,54,48,59,86,24,34,85,11,5,2,0,11,6,0,1,0,0,23,0,28,3.5357142857,0,0,11,12,0,1,0,0,28,0,33,2.7878787879000004
Karim Rekik,Hertha BSC Berlin,22,Defender,64,55,58,62,64,41,45,72,9,9,0,0,2,0,0,2,0,0,17,0,10,1.9,1,0,7,4,0,2,0,0,22,1,23,2.8260869564999997
Kevin Malcuit,LOSC Lille,25,Defender,73,79,66,75,71,66,63,68,13,11,0,3,8,4,2,2,0,0,26,0,25,2.88,0,1,3,3,0,1,0,0,10,0,9,3.0
Kevin Theophile-Catherine,AS Saint-Etienne,27,Defender,74,68,69,72,75,37,66,76,6,11,0,2,12,3,0,0,0,0,34,0,31,3.1290322581,1,1,10,2,0,0,0,0,17,0,22,3.8636363636
Kevin Wimmer,Stoke City,24,Defender,74,63,70,67,78,30,59,78,10,11,0,0,0,3,0,1,0,0,6,1,5,0.6,0,0,4,2,0,1,0,0,7,0,10,3.2
Kieran Gibbs,West Bromwich Albion,27,Defender,74,74,65,75,78,63,65,76,11,15,0,1,3,3,0,3,0,0,6,0,11,3.3636363636,1,0,0,0,0,2,0,0,12,0,15,2.2
Kieran Trippier,Tottenham Hotspur,26,Defender,73,75,76,75,74,60,78,77,14,10,0,5,2,1,0,2,0,0,9,0,12,3.5833333332999997,1,1,1,1,0,0,0,0,5,0,6,3.6666666667000003
Koffi Djidji,FC Nantes,24,Defender,72,59,71,72,74,35,42,74,7,9,0,0,5,7,0,3,0,0,39,0,28,1.9642857143,0,0,7,3,0,3,0,0,24,0,23,2.7826086957
Konstantin Rausch,1. FC Koln,27,Defender,74,72,72,72,73,67,69,67,8,11,0,2,4,4,0,9,0,0,38,0,28,2.0357142857,2,5,2,7,0,22,0,0,48,0,31,2.2580645161
Kostas Manolas,Roma,26,Defender,60,54,61,65,85,25,22,88,6,12,1,2,7,7,0,7,0,0,32,0,33,2.9090909091,2,2,6,7,0,3,0,0,42,1,38,2.5
Kurt Zouma,Stoke City,22,Defender,62,48,56,66,76,53,57,78,14,15,0,1,0,0,0,2,0,0,11,0,9,1.5555555556,1,0,8,0,0,1,0,0,30,0,23,2.8695652174
Kyle Naughton,Swansea City,28,Defender,73,64,66,68,73,54,59,71,10,11,1,0,7,5,0,4,0,0,53,1,31,1.8709677419,0,3,4,2,1,1,0,0,32,0,27,2.2222222222
Kyle Walker,Manchester City,27,Defender,75,77,67,76,78,66,69,79,6,8,0,6,14,8,0,5,0,0,23,0,33,3.8484848485,1,3,12,7,0,2,0,0,31,1,33,3.2727272726999996
Kyriakos Papadopoulos,Hamburger SV,25,Defender,56,40,50,52,65,35,44,79,10,10,2,0,5,6,0,1,0,0,17,0,16,3.0625,0,0,3,4,1,1,0,0,18,0,16,1.8125
Lamine Sane,SV Werder Bremen,30,Defender,70,61,69,62,74,42,61,75,9,9,1,1,5,3,0,3,0,0,53,0,28,1.8214285713999998,0,0,2,4,1,2,0,0,20,0,13,1.3846153846
Laure,AD Alcorcon,32,Defender,67,63,63,71,78,44,56,70,6,11,0,0,2,0,1,0,0,0,11,0,7,1.4285714286000002,0,0,2,6,0,4,0,0,35,0,23,1.3043478260999999
Laurent Koscielny,Arsenal,31,Defender,76,62,69,67,86,39,56,83,11,7,2,0,10,4,1,2,0,0,37,0,33,2.8787878788,4,0,15,3,0,2,0,0,32,0,33,3.9090909091
Leighton Baines,Everton,32,Defender,81,78,74,80,80,73,76,81,15,12,2,3,11,4,0,3,0,1,34,0,32,3.40625,2,1,4,0,0,0,0,0,27,0,18,2.7777777778
Leon Balogun,1. FSV Mainz 05,29,Defender,69,60,64,62,75,49,47,70,15,6,0,0,1,3,0,3,0,0,32,0,17,1.0,1,0,4,5,0,2,0,0,30,0,21,2.0
Leon Guwara,1. FC Kaiserslautern,21,Defender,62,63,51,64,70,57,44,60,11,13,0,0,1,2,0,0,0,0,28,0,16,1.0,0,0,0,0,0,0,0,0,5,0,1,-2.0
Leonardo Bonucci,Milan,30,Defender,79,69,85,75,90,38,74,84,2,4,3,0,11,6,0,1,0,0,25,0,30,3.5,3,1,18,6,0,1,0,0,20,1,36,4.2222222222
Lillo,CA Osasuna,28,Defender,65,52,57,62,75,51,45,73,11,6,0,0,5,7,0,1,0,0,52,0,25,1.2,0,0,2,5,0,1,0,0,16,0,10,1.1
Lorenzo De Silvestri,Torino,29,Defender,70,71,66,73,75,66,49,71,11,14,1,4,1,1,0,4,0,0,34,0,16,2.0,0,2,4,4,0,5,0,0,20,0,17,2.7058823529000002
Lorenzo Tonelli,Napoli,27,Defender,54,54,54,58,82,23,30,84,11,6,2,0,0,2,0,0,0,0,3,0,3,4.6666666667,2,0,8,9,0,0,0,0,36,0,26,2.5769230769
Luca Antei,Benevento Calcio,25,Defender,52,40,55,55,72,23,30,74,11,11,1,0,4,4,0,0,0,0,28,0,15,1.7333333333,0,1,0,2,0,1,0,0,5,0,5,2.2
Luca Antonelli,Milan,30,Defender,72,73,68,73,76,70,64,74,11,5,0,0,0,1,0,2,0,0,3,0,7,2.5714285714,3,1,9,3,0,0,0,0,30,0,28,3.3214285714
Luca Bittante,Carpi,23,Defender,68,68,60,68,60,60,56,60,9,7,0,0,0,4,0,0,0,0,10,0,5,0.0,0,0,0,0,0,2,0,0,19,0,16,1.25
Luca Caldirola,SV Werder Bremen,26,Defender,72,59,67,69,75,40,57,74,10,12,0,0,1,1,0,1,0,0,12,0,5,1.0,0,1,8,4,0,0,0,0,53,0,34,2.1176470588
Luca Rossettini,Genoa,32,Defender,58,50,58,54,76,32,28,77,5,5,1,0,3,8,0,0,0,0,53,0,30,1.4,3,0,7,5,0,3,0,0,39,0,29,2.7241379310000005
Lucas Digne,FC Barcelona,23,Defender,80,73,69,79,77,67,72,74,12,13,0,0,4,3,0,6,0,0,14,0,17,2.6470588235,3,3,7,4,0,2,0,0,35,0,33,3.1515151515
