Players,club,age,Position,short_passing,dribbling,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16,Form-15/16
Mauro Goicoechea,Toulouse FC,29,Goalkeeper,26,14,23,18,22,13,27,18,72,72,0,0,2,0,0,0,0,0,0,0,2,6.0,0,0,0,1,0,0,1,0,13,0,9,2.0
Maxime Dupe,FC Nantes,24,Goalkeeper,35,11,29,22,23,11,32,12,74,75,0,0,5,1,0,0,0,0,20,0,16,2.625,0,0,1,0,0,0,0,0,12,0,7,1.7142857143
Michel Vorm,Tottenham Hotspur,33,Goalkeeper,39,18,35,35,28,10,32,15,76,82,0,0,2,0,0,0,0,0,3,0,5,3.4,0,0,0,0,0,0,0,0,1,0,1,2.0
Mike Maignan,LOSC Lille,21,Goalkeeper,33,22,19,24,24,14,42,17,70,74,0,0,3,0,0,0,0,0,9,0,7,2.8571428571,0,0,1,0,0,0,0,0,3,0,4,2.75
Neto,Valencia CF,27,Goalkeeper,36,19,36,24,15,11,40,19,80,83,0,0,5,0,0,0,0,0,2,0,8,4.625,0,0,1,0,0,0,0,0,3,0,3,3.0
Oliver Baumann,TSG 1899 Hoffenheim,27,Goalkeeper,30,19,25,17,21,10,41,10,82,84,0,0,12,1,0,0,1,0,37,0,34,3.0882352941000004,0,0,6,1,0,0,0,0,50,0,33,2.0
Orestis Karnezis,Watford,31,Goalkeeper,22,15,36,23,23,10,47,13,83,84,0,0,7,3,0,1,0,0,46,0,33,2.1515151515,0,0,8,0,0,0,1,0,60,0,38,2.1842105263
Petr Cech,Arsenal,35,Goalkeeper,35,12,33,22,23,13,53,11,87,81,0,0,12,2,0,1,0,0,39,1,35,2.7714285714,0,0,16,0,0,0,0,0,31,0,34,3.5
Pierluigi Gollini,Atalanta,22,Goalkeeper,31,18,25,24,18,12,30,15,59,76,0,0,2,1,0,0,0,0,1,0,3,4.3333333333,0,0,2,2,0,0,0,0,44,0,26,1.4230769231
Ralf Fahrmann,FC Schalke 04,28,Goalkeeper,25,15,26,24,23,11,42,12,86,87,0,0,8,2,0,0,4,0,40,0,34,3.0588235294,0,0,8,1,0,1,1,0,49,0,34,2.3823529412
Raul Lizoain,UD Las Palmas,26,Goalkeeper,15,12,22,15,17,16,33,12,76,72,0,0,3,1,0,0,0,0,27,0,13,1.5384615385,0,0,2,0,0,0,0,0,13,0,8,2.0
Remy Riou,Alanyaspor,29,Goalkeeper,42,12,34,23,28,18,39,14,71,75,0,0,5,0,0,0,0,0,34,0,22,2.1363636364,0,1,14,2,0,0,1,0,34,0,32,3.4375
Rene Adler,1. FSV Mainz 05,32,Goalkeeper,39,13,36,20,17,7,38,12,77,80,0,1,5,1,0,0,1,0,38,0,19,2.1578947368,0,1,5,3,1,1,0,0,36,0,24,2.0
Roman Burki,Borussia Dortmund,26,Goalkeeper,37,16,24,23,18,10,50,14,83,85,0,0,9,2,0,0,0,0,29,0,27,2.8518518519,0,0,12,1,0,0,0,0,34,0,33,3.0303030303
Roman Weidenfeller,Borussia Dortmund,36,Goalkeeper,31,12,20,19,13,8,32,11,80,77,0,0,0,0,0,0,0,0,11,0,7,1.4285714286000002,0,0,1,0,0,0,0,0,0,0,1,6.0
Ron-Robert Zieler,VfB Stuttgart,28,Goalkeeper,25,12,22,22,21,15,39,11,80,81,0,0,1,0,0,0,0,0,16,0,9,1.4444444444,0,0,5,3,0,0,0,0,62,0,34,1.5294117647
Ruben Blanco,RC Celta de Vigo,21,Goalkeeper,35,17,29,10,22,11,33,12,74,71,0,0,2,2,0,0,0,0,15,0,11,2.0,0,0,3,1,1,1,1,0,12,0,8,2.75
Rune Jarstein,Hertha BSC Berlin,32,Goalkeeper,34,11,34,23,19,15,37,13,81,85,0,0,11,1,0,0,1,0,47,0,34,2.7058823529000002,0,0,12,2,0,0,0,0,35,0,29,2.9310344828
Ryan Allsop,Blackpool,25,Goalkeeper,35,12,34,26,28,13,30,20,59,69,0,0,0,0,0,0,0,0,1,0,1,2.0,0,0,0,0,0,0,0,0,3,0,1,-1.0
Salvatore Sirigu,Torino,30,Goalkeeper,23,15,28,18,20,10,46,16,76,80,0,0,1,1,1,0,3,0,55,0,20,0.95,0,0,2,0,0,0,0,0,0,0,3,5.0
Samir Handanovic,Inter,32,Goalkeeper,36,18,34,24,22,12,41,17,86,87,0,0,9,4,0,0,1,0,47,1,37,2.4054054054,0,0,15,5,0,0,1,0,34,0,36,3.3055555556
