Players,club,league,Position,short_passing,dribbling,long_passing,sprint_speed,interceptions,gk_diving,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16
Alfred Duncan,Sassuolo,Italian Serie A,Midfielder,79,71,74,76,78,9,1,0,0,4,0,3,0,0,0,0,20,1.75,1,6,0,5,0,7,0,0,0,0,33
Alfredo Morales,FC Ingolstadt 04,German 2. Bundesliga,Midfielder,74,68,70,69,70,9,1,0,0,5,0,9,0,0,0,0,27,1.7407407407,1,1,0,7,0,4,0,0,0,0,24
Almog Cohen,FC Ingolstadt 04,German 2. Bundesliga,Midfielder,71,63,65,65,74,6,7,1,0,2,0,8,0,0,0,0,31,3.0967741935000004,0,2,0,2,0,6,0,0,0,0,20
Amadou Diawara,Napoli,Italian Serie A,Midfielder,82,76,76,74,76,11,0,0,0,1,0,2,0,0,0,0,18,1.5,0,1,0,11,0,4,0,0,0,0,34
Ander Herrera,Manchester United,English Premier League,Midfielder,86,81,80,70,86,9,1,6,0,6,0,5,0,0,0,0,31,2.4193548387,3,2,0,4,0,11,0,0,0,0,27
Andre Gomes,FC Barcelona,Spanish Primera Division,Midfielder,84,81,83,66,76,12,3,1,0,3,0,12,0,0,0,0,30,2.0666666666999998,2,3,0,10,0,7,0,0,0,0,30
Andre Hahn,Hamburger SV,German Bundesliga,Midfielder,71,68,54,79,50,14,3,1,0,3,0,9,0,1,0,0,31,2.0322580644999997,8,1,0,1,0,2,0,0,0,0,15
Andrea Bertolacci,Genoa,Italian Serie A,Midfielder,80,79,76,76,70,7,1,0,0,3,0,6,0,0,0,0,15,1.7333333333,1,1,0,6,0,7,0,0,0,0,27
Andrea Poli,Bologna,Italian Serie A,Midfielder,80,78,74,77,66,5,0,0,0,0,0,2,0,0,0,0,13,1.2307692308,0,1,0,1,0,3,0,0,0,0,18
Andreas Pereira,Valencia CF,Spanish Primera Division,Midfielder,77,82,77,76,65,15,5,3,0,10,1,11,0,0,0,0,35,2.5714285714,0,0,0,2,0,0,0,0,0,0,4
Andrew Surman,Bournemouth,English Premier League,Midfielder,82,72,76,60,65,16,0,1,0,2,0,3,0,0,0,0,22,2.0,0,3,0,4,0,0,0,0,0,0,38
Andros Townsend,Crystal Palace,English Premier League,Midfielder,75,82,67,84,21,13,3,4,0,4,0,15,0,0,0,0,36,2.4722222222,4,2,0,0,0,3,0,0,0,0,16
Andy King,Leicester City,English Premier League,Midfielder,74,69,69,62,67,8,1,0,0,4,0,5,0,0,0,0,23,1.6956521739,2,1,0,2,0,1,0,0,0,0,25
Angel Di Maria,Paris Saint-Germain,French Ligue 1,Midfielder,83,86,79,86,38,10,6,7,0,1,1,13,0,0,0,0,29,3.4482758620999996,10,18,0,0,0,14,0,0,0,0,29
Anthony Martial,Manchester United,English Premier League,Midfielder,75,88,58,89,42,9,4,6,0,2,0,11,0,0,0,0,25,3.16,11,5,0,2,0,3,0,0,0,0,34
Antonio Candreva,Inter,Italian Serie A,Midfielder,77,82,70,78,59,10,6,10,0,2,0,18,0,1,0,0,38,3.4210526316000003,10,2,0,4,0,17,0,2,0,0,30
Arda Turan,FC Barcelona,Spanish Primera Division,Midfielder,83,85,80,68,61,11,3,3,0,1,0,5,0,0,0,0,18,3.0555555556,2,3,0,5,0,7,0,0,0,0,18
Arjen Robben,FC Bayern Munich,German Bundesliga,Midfielder,84,92,71,86,39,10,13,9,0,0,0,9,0,0,0,0,26,5.3461538462,4,1,0,1,0,8,0,0,0,0,15
Arnold Mvuemba,FC Lorient,French Ligue 2,Midfielder,81,67,72,72,67,7,1,1,0,5,0,5,0,0,0,0,32,2.0625,0,0,0,0,0,1,0,0,0,0,6
