Players,club,league,Position,short_passing,dribbling,long_passing,sprint_speed,interceptions,gk_diving,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Apps-16/17,Form-16/17,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,Apps-15/16
Enzo Perez,River Plate,Argentinian Superliga,Midfielder,85,67,73,67,80,9,0,1,0,14,0,6,0,0,0,0,27,1.5555555556,0,0,0,10,0,13,0,0,0,0,20
Eric Dier,Tottenham Hotspur,English Premier League,Midfielder,76,66,77,74,80,11,2,0,0,6,0,3,0,0,0,0,36,2.0555555556,3,2,0,10,0,5,0,0,0,0,37
Erik Lamela,Tottenham Hotspur,English Premier League,Midfielder,82,85,72,74,43,10,1,1,0,1,0,2,0,1,0,0,9,2.2222222222,5,9,0,9,0,19,0,0,0,0,34
Etienne Capoue,Watford,English Premier League,Midfielder,77,76,77,55,71,12,7,1,0,5,0,10,0,0,0,0,37,2.8918918919,0,1,0,7,0,8,0,0,0,0,33
Eugen Polanski,TSG 1899 Hoffenheim,German Bundesliga,Midfielder,72,63,70,51,77,8,0,0,0,1,0,4,0,0,0,0,14,1.4285714286000002,1,3,0,8,0,7,0,1,0,1,27
Ever Banega,Sevilla FC,Spanish Primera Division,Midfielder,88,83,85,67,70,13,6,7,0,2,0,13,0,0,0,0,28,3.4642857143,5,2,0,7,0,11,0,0,0,0,25
Fabian,Real Betis Balompie,Spanish Primera Division,Midfielder,75,67,72,52,66,16,0,0,0,0,0,3,0,0,0,0,4,1.75,0,1,0,0,0,6,0,0,0,0,12
Fabian Delph,Manchester City,English Premier League,Midfielder,80,83,75,72,75,10,1,0,0,1,0,0,0,0,0,0,7,1.8571428571000002,2,0,0,0,0,7,0,0,0,0,17
Fabian Lustenberger,Hertha BSC Berlin,German Bundesliga,Midfielder,74,61,68,58,83,13,0,1,0,2,0,1,0,0,0,0,19,1.9473684211000002,1,0,0,5,0,8,0,0,0,0,30
Fabien Lemoine,FC Lorient,French Ligue 2,Midfielder,75,68,72,49,75,6,0,0,0,0,1,5,0,0,0,0,16,1.375,0,1,0,10,0,13,0,0,0,0,33
Fares Bahlouli,LOSC Lille,French Ligue 1,Midfielder,70,76,65,74,49,7,0,0,0,0,0,1,0,0,0,0,3,1.3333333333,1,0,0,1,0,2,0,0,0,0,8
Faycal Fajr,Getafe CF,Spanish Primera Division,Midfielder,76,76,75,66,31,15,0,2,0,3,0,5,0,1,0,0,24,1.625,5,4,0,3,0,7,0,0,0,0,38
Federico Bernardeschi,Juventus,Italian Serie A,Midfielder,80,86,70,84,34,14,10,5,0,5,1,17,0,1,0,0,32,3.5625,2,4,0,6,0,11,0,0,0,0,33
Federico Cartabia,RC Deportivo de La Coruna,Spanish Primera Division,Midfielder,77,81,63,75,34,8,0,0,0,0,0,2,0,0,0,0,4,1.5,3,3,0,3,0,13,0,0,0,0,26
Federico Viviani,Ferrara (SPAL),Italian Serie A,Midfielder,78,78,76,68,70,5,2,2,0,4,0,7,0,0,0,0,17,2.4705882353,3,6,0,5,0,2,0,0,0,0,19
Felipe Anderson,Lazio,Italian Serie A,Midfielder,78,87,74,91,69,12,4,8,0,5,0,13,0,0,0,0,36,3.0,7,4,0,1,0,9,0,0,0,0,35
Felix Passlack,TSG 1899 Hoffenheim,German Bundesliga,Midfielder,75,72,57,71,59,10,0,0,0,1,0,3,0,0,0,0,10,1.5,0,0,0,0,0,1,0,0,0,0,3
Fernandinho,Manchester City,English Premier League,Midfielder,82,77,79,73,85,12,2,1,0,4,2,0,0,0,0,0,32,2.0625,2,2,0,8,0,4,0,0,0,0,33
Filippo Costa,Ferrara (SPAL),Italian Serie A,Midfielder,68,61,63,71,58,15,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0,0,0,0,6
Fin Bartels,SV Werder Bremen,German Bundesliga,Midfielder,75,80,69,87,53,9,8,7,0,4,0,9,0,0,0,0,31,3.5806451613,8,1,0,6,0,8,0,0,0,0,30
Florian Grillitsch,TSG 1899 Hoffenheim,German Bundesliga,Midfielder,78,74,73,64,70,13,2,0,0,4,0,12,0,0,0,0,23,2.1739130435,1,3,0,3,0,8,0,0,0,0,25
Florian Jungwirth,San Jose Earthquakes,USA Major League Soccer,Midfielder,68,61,69,62,73,10,0,0,0,2,0,2,0,0,0,0,16,1.625,0,1,0,4,0,0,0,0,0,0,19
Florian Thauvin,Olympique de Marseille,French Ligue 1,Midfielder,81,86,75,77,43,8,15,8,0,2,0,22,0,0,0,0,38,4.5,2,0,0,1,1,9,0,0,0,0,29
Fran Rico,SD Eibar,Spanish Primera Division,Midfielder,81,65,77,54,71,9,2,1,0,5,0,2,0,0,0,0,17,2.2352941176,2,1,0,6,0,8,0,0,0,0,28
Francesco Magnanelli,Sassuolo,Italian Serie A,Midfielder,78,58,76,68,79,8,1,0,0,2,0,2,0,0,0,0,15,2.1333333333,1,1,0,8,0,0,0,0,0,0,34
Francis Coquelin,Arsenal,English Premier League,Midfielder,75,72,71,67,85,9,0,0,0,5,0,13,0,0,0,0,29,1.5862068966,0,1,0,6,0,8,0,0,0,0,26
Franck Ribery,FC Bayern Munich,German Bundesliga,Midfielder,86,90,75,79,36,15,5,11,0,2,0,9,0,0,0,0,22,4.1818181818,2,4,0,1,0,1,0,0,0,0,13
Franck Tabanou,En Avant de Guingamp,French Ligue 1,Midfielder,73,69,72,68,68,15,0,0,0,3,0,5,0,0,0,0,6,1.5,0,0,0,0,1,2,0,0,0,0,11
Gabriel Boschilia,AS Monaco,French Ligue 1,Midfielder,75,78,69,73,27,7,6,2,0,1,0,4,0,0,0,0,11,4.6363636364,0,0,0,0,0,1,0,0,0,0,5
Gael Danic,FC Lorient,French Ligue 2,Midfielder,69,69,66,60,42,13,4,3,0,8,0,11,0,0,0,0,29,2.3793103448,5,3,0,7,0,13,0,0,0,0,37
Gareth Bale,Real Madrid CF,Spanish Primera Division,Midfielder,85,87,80,95,59,15,7,2,0,3,1,7,0,0,0,0,19,3.7368421052999996,19,10,0,2,0,9,0,0,0,0,23
Gareth Barry,West Bromwich Albion,English Premier League,Midfielder,83,68,74,33,81,7,2,1,0,10,0,12,0,0,0,0,33,1.7878787879,0,0,0,6,0,1,0,0,0,0,33
Gary Medel,Besiktas JK,Turkish Super Lig,Midfielder,78,63,76,74,86,14,0,0,0,5,0,7,0,0,0,0,26,1.8076923077,1,1,0,10,0,6,0,0,0,0,31
Gaston Brugman,Pescara,Italian Serie B,Midfielder,74,69,71,67,52,10,1,1,0,7,0,8,0,0,0,0,27,1.8518518519,0,1,0,2,0,3,0,0,0,0,14
Gaston Ramirez,Sampdoria,Italian Serie A,Midfielder,78,80,73,70,32,14,2,3,0,9,0,14,0,0,0,0,24,2.25,0,1,0,0,0,0,0,0,0,0,3
Gelson Fernandes,Eintracht Frankfurt,German Bundesliga,Midfielder,75,68,70,66,79,14,0,0,0,8,0,10,0,0,0,1,27,1.3703703703999999,1,1,0,7,0,1,0,0,0,0,33
Genki Haraguchi,Hertha BSC Berlin,German Bundesliga,Midfielder,74,84,59,85,37,16,1,2,0,4,0,10,0,0,0,0,31,1.9677419355,2,3,0,4,0,10,0,0,0,0,32
Geoffrey Kondogbia,Valencia CF,Spanish Primera Division,Midfielder,78,79,77,73,77,15,1,1,0,5,1,8,0,0,0,0,24,1.8333333333000001,1,0,0,6,1,9,0,0,0,0,26
George Honeyman,Sunderland,English Championship,Midfielder,63,61,58,68,29,11,0,0,0,1,0,1,0,0,0,0,5,1.2,0,0,0,0,0,0,0,0,0,0,1
Georges-Kevin Nkoudou,Tottenham Hotspur,English Premier League,Midfielder,74,79,62,91,21,10,0,0,0,0,0,0,0,0,0,0,8,1.0,5,3,0,0,0,8,0,0,0,1,29
Georginio Wijnaldum,Liverpool,English Premier League,Midfielder,83,85,74,82,70,16,6,9,0,2,0,9,0,0,0,0,36,3.4444444444,11,5,0,1,0,7,0,0,0,0,38
Giacomo Bonaventura,Milan,Italian Serie A,Midfielder,84,83,80,78,72,10,3,3,0,3,0,8,0,0,0,0,19,3.1052631579,6,6,0,8,0,3,0,0,0,0,33
Gideon Jung,Hamburger SV,German Bundesliga,Midfielder,69,58,68,59,74,7,0,0,0,3,0,2,0,0,0,0,28,1.7857142857,0,0,0,4,0,3,0,0,0,0,19
Giuseppe Vives,Vercelli,Italian Serie B,Midfielder,78,70,78,59,77,7,0,0,0,0,1,1,0,0,0,0,3,1.0,1,1,0,10,0,4,0,0,0,0,33
Glenn Whelan,Aston Villa,English Championship,Midfielder,74,65,70,50,78,10,0,1,0,5,0,7,0,0,0,1,30,1.7,0,1,0,6,0,8,0,0,0,0,37
Godfred Donsah,Bologna,Italian Serie A,Midfielder,78,78,76,77,62,14,0,2,0,2,0,3,0,0,0,0,13,2.0769230769,2,2,0,2,0,14,0,0,0,0,20
Gonzalo Castro,Borussia Dortmund,German Bundesliga,Midfielder,84,80,83,69,78,14,3,6,0,5,0,10,0,0,0,0,28,2.8214285714,3,7,0,1,0,9,0,0,0,0,25
Granit Xhaka,Arsenal,English Premier League,Midfielder,85,70,86,51,77,7,2,2,0,5,2,5,0,0,0,0,32,2.03125,3,1,0,7,1,5,0,0,0,0,28
Gregoire Defrel,Roma,Italian Serie A,Midfielder,67,84,60,87,37,14,11,2,0,1,0,12,0,0,0,0,29,3.8620689655000002,8,3,0,3,0,11,0,0,0,0,33
Gregory Bourillon,La Berrichonne de Chateauroux,French Ligue 2,Midfielder,69,46,65,37,73,9,1,0,0,1,0,1,0,0,0,0,5,2.6,1,0,0,1,0,3,0,0,0,0,8
Gregory Sertic,Olympique de Marseille,French Ligue 1,Midfielder,78,70,78,69,73,11,1,0,0,2,0,2,0,0,0,1,25,1.88,0,0,0,0,0,1,0,0,0,0,1
Grzegorz Krychowiak,West Bromwich Albion,English Premier League,Midfielder,79,63,83,68,81,15,0,0,0,2,0,2,0,0,0,0,11,1.4545454544999998,0,0,0,6,0,1,0,0,0,2,26
Guilherme,RC Deportivo de La Coruna,Spanish Primera Division,Midfielder,78,64,75,67,77,9,2,1,0,6,0,6,0,0,0,0,30,2.1,0,0,0,1,0,2,0,0,0,0,5
Hakan Calhanoglu,Milan,Italian Serie A,Midfielder,82,78,78,67,44,9,6,5,0,1,0,3,0,1,0,0,15,4.7333333333,3,5,0,1,0,13,0,0,0,0,31
Harrison Reed,Norwich City,English Championship,Midfielder,74,62,66,65,64,7,0,0,0,0,0,1,0,0,0,0,3,1.3333333333,0,0,0,0,0,0,0,0,0,0,1
Harry Arter,Bournemouth,English Premier League,Midfielder,82,72,77,67,71,7,1,4,0,12,0,4,0,1,0,0,35,2.0285714286000003,1,0,0,7,0,13,0,0,0,0,21
Hatem Ben Arfa,Paris Saint-Germain,French Ligue 1,Midfielder,78,89,74,73,36,12,0,1,0,1,0,4,0,0,0,0,23,1.3043478260999999,17,6,0,2,0,15,0,0,0,0,35
Henrikh Mkhitaryan,Manchester United,English Premier League,Midfielder,84,87,72,84,64,5,4,1,0,1,0,11,0,0,0,0,24,2.5416666667,11,16,0,5,0,5,0,0,0,0,31
Hernan,UD Las Palmas,Spanish Primera Division,Midfielder,78,66,69,59,70,15,0,0,0,2,0,2,0,0,0,0,10,1.1,1,0,0,4,0,5,0,0,0,0,18
Hernan Perez,RCD Espanyol,Spanish Primera Division,Midfielder,76,81,65,81,43,13,3,0,0,7,0,15,0,0,0,0,32,1.875,7,1,0,12,0,7,0,0,0,0,32
Herve Bazile,SM Caen,French Ligue 1,Midfielder,69,74,64,77,25,6,2,3,0,1,0,5,0,0,0,0,19,2.3157894737,0,3,0,1,0,8,0,0,0,0,25
Heung Min Son,Tottenham Hotspur,English Premier League,Midfielder,78,85,64,86,29,11,14,6,0,2,0,15,0,0,0,0,34,4.2058823529,4,1,0,0,0,13,0,0,0,0,29
Hiroshi Kiyotake,Cerezo Osaka,Japanese J1 League,Midfielder,78,74,76,75,35,15,1,2,0,0,0,1,0,0,0,0,4,4.5,5,5,0,0,0,7,0,0,0,0,21
Ibrahim Amadou,LOSC Lille,French Ligue 1,Midfielder,75,65,73,76,76,6,1,0,0,4,0,4,0,0,0,0,36,1.9722222222,2,0,0,2,0,1,0,0,0,0,22
Ibrahima Traore,Borussia Monchengladbach,German Bundesliga,Midfielder,76,86,74,85,41,6,0,4,0,0,0,6,0,0,0,0,14,2.5,2,1,0,1,0,12,0,0,0,0,24
Idrissa Gana Gueye,Everton,English Premier League,Midfielder,82,75,74,75,87,8,1,1,0,11,0,8,0,0,0,0,33,1.8787878787999999,0,3,0,10,0,5,0,0,0,0,35
Ikechi Anya,Derby County,English Championship,Midfielder,67,73,60,86,63,9,0,0,0,0,0,0,0,0,0,0,1,1.0,0,1,0,0,0,5,0,0,0,0,28
Ilkay Gundogan,Manchester City,English Premier League,Midfielder,88,87,83,70,79,11,3,1,0,0,0,7,0,0,0,0,10,3.7,1,3,0,1,0,6,0,0,0,0,25
Isaac Cofie,Genoa,Italian Serie A,Midfielder,73,66,72,68,79,8,0,1,0,5,0,3,0,0,0,0,15,1.6,0,1,0,7,0,6,0,0,0,0,29
Isco,Real Madrid CF,Spanish Primera Division,Midfielder,86,90,85,69,70,10,10,7,0,4,0,13,0,0,0,0,29,3.8965517241,3,7,0,2,1,13,0,0,0,0,31
Issam Ben Khemis,Doncaster Rovers,English League One,Midfielder,62,67,61,71,40,11,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,0,0,0,0,0,0,0,0,1
Issiaga Sylla,Toulouse FC,French Ligue 1,Midfielder,72,69,63,71,68,13,1,1,0,5,0,10,0,0,0,0,27,1.8888888889,0,3,0,9,0,0,0,0,0,1,34
Issiar Dia,Evkur Yeni Malatyaspor,Turkish Super Lig,Midfielder,69,74,60,77,16,14,8,3,0,3,0,14,0,0,0,0,32,3.125,0,0,0,0,0,4,0,0,0,0,11
Ivan Perisic,Inter,Italian Serie A,Midfielder,78,83,72,87,42,6,11,8,0,2,1,10,0,0,0,0,36,3.9166666667000003,8,6,0,5,0,9,0,0,0,0,36
Ivan Radovanovic,Chievo Verona,Italian Serie A,Midfielder,78,67,78,68,79,5,0,0,0,10,0,1,0,0,0,0,35,1.6285714286000001,0,0,0,10,0,6,0,0,0,0,26
Ivan Rakitic,FC Barcelona,Spanish Primera Division,Midfielder,87,84,92,64,69,14,7,5,0,5,0,10,0,0,0,0,32,3.21875,7,2,0,3,0,14,0,0,0,1,36
Ivaylo Chochev,Palermo,Italian Serie B,Midfielder,76,73,73,65,63,7,3,2,0,4,0,6,0,0,0,0,29,2.4137931034,0,2,0,6,0,6,0,0,0,0,27
Izet Hajrovic,SV Werder Bremen,German Bundesliga,Midfielder,68,78,70,75,48,11,1,0,0,1,0,7,0,0,0,0,10,2.0,0,0,0,0,0,2,0,0,0,0,7
Jack Cork,Burnley,English Premier League,Midfielder,80,75,78,58,80,13,0,0,0,7,0,6,0,0,0,2,30,1.4,1,2,0,3,0,4,0,0,0,1,35
Jack Rodwell,Sunderland,English Championship,Midfielder,75,70,72,62,74,9,0,1,0,4,0,4,0,0,0,0,20,1.8,1,0,0,5,0,1,0,0,0,0,22
Jack Wilshere,Arsenal,English Premier League,Midfielder,84,82,80,69,61,6,0,2,0,4,0,7,0,0,0,0,29,1.8275862069,0,0,0,0,0,1,0,0,0,0,3
Jacopo Sala,Sampdoria,Italian Serie A,Midfielder,72,73,70,77,71,10,0,0,0,6,0,6,0,0,0,0,20,1.65,0,0,0,8,0,9,0,0,0,0,23
Jairo,1. FSV Mainz 05,German Bundesliga,Midfielder,75,80,67,86,29,10,2,1,0,5,0,7,0,0,0,0,17,2.1176470588,8,4,0,5,0,12,0,0,0,0,31
James McArthur,Crystal Palace,English Premier League,Midfielder,78,66,74,60,78,1,5,3,0,5,0,16,0,0,0,0,29,2.8275862069,2,2,0,5,0,10,0,0,0,0,28
James McCarthy,Everton,English Premier League,Midfielder,82,76,81,68,78,12,1,1,0,2,0,5,0,0,0,0,12,2.0833333333,2,2,0,6,0,6,0,0,0,0,29
James McClean,West Bromwich Albion,English Premier League,Midfielder,69,79,66,79,51,6,1,2,0,9,0,8,0,0,0,0,34,1.4411764706,2,3,0,7,1,8,0,0,0,0,35
James Milner,Liverpool,English Premier League,Midfielder,84,77,81,66,76,1,7,3,0,5,0,6,0,1,0,0,36,3.0277777778,5,11,0,10,0,7,0,0,0,0,28
James Morrison,West Bromwich Albion,English Premier League,Midfielder,80,78,73,65,59,11,5,2,0,3,0,12,0,0,0,0,31,2.4516129032,3,3,0,3,0,7,0,1,0,0,18
James Rodriguez,FC Bayern Munich,German Bundesliga,Midfielder,84,83,80,75,55,15,8,6,0,1,0,8,0,0,0,0,23,4.0869565217,7,7,0,1,0,10,0,0,0,0,26
James Ward-Prowse,Southampton,English Premier League,Midfielder,83,71,82,65,65,12,4,4,0,4,0,9,0,0,0,0,30,2.6666666667,2,5,0,5,0,5,0,0,0,0,33
Jan Moravek,FC Augsburg,German Bundesliga,Midfielder,77,75,73,53,60,8,0,0,0,2,0,10,0,0,0,0,13,1.6153846154,1,0,0,0,0,3,0,0,0,0,11
Jan Rosenthal,SV Darmstadt 98,German 2. Bundesliga,Midfielder,71,71,67,65,37,32,0,0,0,3,0,8,0,0,0,0,19,1.3684210525999998,0,1,0,2,0,15,0,0,0,0,23
Jaroslav Plasil,Girondins de Bordeaux,French Ligue 1,Midfielder,79,75,78,38,59,6,1,5,0,2,0,6,0,0,0,0,37,2.1891891892,3,3,0,1,0,7,0,0,0,0,27
Jasmin Kurtic,Atalanta,Italian Serie A,Midfielder,79,71,76,68,75,14,6,3,0,7,0,20,0,0,0,0,37,2.8108108107999996,2,0,0,6,0,14,0,0,0,0,32
Javi Castellano,UD Las Palmas,Spanish Primera Division,Midfielder,77,46,72,53,76,11,0,0,0,0,0,0,0,0,0,0,5,1.0,0,0,0,0,0,0,0,0,0,0,1
Javi Lopez,RCD Espanyol,Spanish Primera Division,Midfielder,76,68,61,75,75,10,0,1,0,3,0,5,0,0,0,0,19,1.8947368421000002,0,2,0,10,0,4,0,0,0,0,31
Javi Ontiveros,Malaga CF,Spanish Primera Division,Midfielder,76,75,67,71,23,6,2,3,0,4,0,5,0,0,0,0,18,2.2222222222,0,0,0,0,0,0,0,0,0,0,4
Javier Fuego,RCD Espanyol,Spanish Primera Division,Midfielder,79,62,74,52,83,7,1,0,0,9,0,4,0,0,0,0,31,1.8064516129,0,0,0,10,0,3,0,0,0,0,26
Javier Mascherano,FC Barcelona,Spanish Primera Division,Midfielder,79,58,75,64,88,6,1,3,0,6,0,0,0,0,0,0,26,2.1153846154,0,0,0,9,1,3,0,0,0,0,32
Javier Pastore,Paris Saint-Germain,French Ligue 1,Midfielder,87,88,83,72,69,14,0,4,0,0,0,6,0,0,0,0,15,2.4,2,6,0,1,0,5,0,0,0,0,16
Jay Fulton,Swansea City,English Premier League,Midfielder,73,63,67,64,66,11,0,0,0,2,0,5,0,0,0,0,11,1.6363636363999998,0,0,0,0,0,0,0,0,0,0,2
Jean Daniel Akpa Akpro,Barnet,English League Two,Midfielder,57,64,49,82,16,6,0,0,0,1,0,0,0,0,0,0,2,0.5,1,4,0,12,0,6,0,0,0,0,33
Jean Michael Seri,OGC Nice,French Ligue 1,Midfielder,87,79,84,77,74,14,7,10,0,4,0,8,0,0,0,0,34,3.7941176470999998,3,6,0,2,0,11,0,0,0,0,39
Jean-Victor Makengo,OGC Nice,French Ligue 1,Midfielder,70,65,67,63,53,8,0,0,0,2,0,5,0,0,0,0,17,1.4117647059,0,0,0,1,0,3,0,0,0,0,10
Jeff Louis,SM Caen,French Ligue 1,Midfielder,69,71,66,91,55,9,0,0,0,0,0,3,0,0,0,0,5,1.6,1,0,0,2,0,5,0,0,0,0,17
Jefferson Montero,Getafe CF,Spanish Primera Division,Midfielder,74,83,70,90,25,11,0,1,0,0,0,4,0,0,0,0,13,1.3846153846,0,2,0,0,0,9,0,0,0,0,23
Jeremie Boga,Birmingham City,English Championship,Midfielder,66,75,61,79,41,15,2,1,0,0,0,5,0,0,0,0,26,2.0384615385,3,1,0,0,0,2,0,0,0,0,27
Jeremy Clement,AS Nancy Lorraine,French Ligue 2,Midfielder,72,61,71,43,77,15,0,0,0,0,0,1,0,0,0,0,5,1.6,0,1,0,6,0,4,0,0,0,0,27
Jerome Gondorf,SV Werder Bremen,German Bundesliga,Midfielder,78,73,74,65,68,8,2,4,0,7,0,5,0,0,0,0,29,2.5172413793,3,4,0,9,0,4,0,0,0,0,33
Jerome Roussillon,Montpellier Herault SC,French Ligue 1,Midfielder,74,75,69,86,76,9,1,2,0,3,0,7,0,0,0,0,32,2.21875,3,3,0,4,0,12,0,0,0,0,33
Jesse Lingard,Manchester United,English Premier League,Midfielder,75,79,65,83,53,14,1,2,0,3,0,15,0,0,0,0,25,2.04,4,1,0,4,0,8,0,0,0,0,25
Jessy Pi,Stade Brestois 29,French Ligue 2,Midfielder,75,66,69,68,69,6,0,1,0,1,0,3,0,0,0,0,16,1.3125,3,0,0,4,0,2,0,0,0,0,37
Jimmy Cabot,FC Lorient,French Ligue 2,Midfielder,68,81,54,91,38,14,5,4,0,1,0,5,0,0,0,0,25,2.88,4,5,0,2,0,8,0,0,0,0,27
Joao Moutinho,AS Monaco,French Ligue 1,Midfielder,84,81,82,65,72,13,2,4,0,0,0,4,0,0,0,0,31,2.3225806452,1,2,0,6,0,3,0,0,0,0,26
Joaquin,Real Betis Balompie,Spanish Primera Division,Midfielder,80,85,81,65,35,9,3,4,0,2,0,14,0,0,0,0,28,2.5714285714,1,5,0,3,0,14,0,0,0,0,30
Joaquin Correa,Sevilla FC,Spanish Primera Division,Midfielder,76,78,71,77,31,11,4,0,0,6,0,7,0,0,0,0,26,2.1153846154,3,1,0,6,0,12,0,0,0,0,25
Joe Allen,Stoke City,English Premier League,Midfielder,82,75,75,60,76,10,6,2,0,9,0,8,0,0,0,0,36,2.6944444444,2,1,0,0,0,5,0,0,0,0,19
Joe Ledley,Derby County,English Championship,Midfielder,76,60,70,57,72,13,1,0,0,1,0,7,0,0,0,0,18,1.9444444444,1,0,0,1,0,7,0,0,0,0,19
Joel Obi,Torino,Italian Serie A,Midfielder,76,75,68,76,72,13,0,3,0,3,0,9,0,0,0,0,20,1.75,1,0,0,1,1,6,0,0,0,0,11
Jonas Hofmann,Borussia Monchengladbach,German Bundesliga,Midfielder,78,79,66,79,47,6,0,1,0,0,0,8,0,0,0,0,21,1.9047619048,1,1,0,0,0,5,0,0,0,0,15
Jonas Martin,RC Strasbourg,French Ligue 1,Midfielder,80,73,75,72,65,8,2,0,0,5,0,9,0,0,0,0,20,2.0,4,2,0,5,0,4,0,0,0,0,36
Jonathan Bamba,AS Saint-Etienne,French Ligue 1,Midfielder,65,75,61,83,32,15,3,3,0,0,0,7,0,0,0,0,17,2.9411764706,1,0,0,0,0,3,0,0,0,0,5
Jonathan De Guzman,Eintracht Frankfurt,German Bundesliga,Midfielder,78,80,74,78,49,10,2,1,0,3,0,8,0,0,0,0,26,1.9230769231,1,0,0,0,0,1,0,0,0,0,5
Jonathan Delaplace,SM Caen,French Ligue 1,Midfielder,76,70,70,66,74,9,0,4,0,3,0,11,0,0,0,0,33,2.2121212121,0,1,0,2,0,12,0,0,0,0,22
Jonathan Schmid,FC Augsburg,German Bundesliga,Midfielder,73,73,62,75,62,15,1,3,0,1,0,11,0,0,0,0,25,2.32,4,0,0,1,0,8,0,0,0,0,23
Jonathan Viera,UD Las Palmas,Spanish Primera Division,Midfielder,85,88,76,76,69,16,7,7,0,4,0,10,0,0,0,0,31,3.6451612903,10,8,0,3,0,9,0,1,0,0,37
Jonathan Walters,Burnley,English Premier League,Midfielder,73,72,63,64,61,8,4,2,0,1,0,2,0,0,0,0,23,2.652173913,5,2,0,1,0,4,0,0,0,0,27
Jony,Malaga CF,Spanish Primera Division,Midfielder,74,76,73,83,52,11,2,1,0,3,0,13,0,0,0,0,24,2.0416666667,5,7,0,4,0,13,0,1,0,0,36
Jordan Ferri,Olympique Lyonnais,French Ligue 1,Midfielder,78,72,76,64,71,7,1,1,0,4,0,6,0,0,0,0,28,1.5357142857,2,5,0,8,0,12,0,0,0,0,33
Jordan Henderson,Liverpool,English Premier League,Midfielder,85,74,83,71,79,7,1,4,0,8,0,2,0,0,0,0,24,2.375,2,4,0,1,0,5,0,0,0,0,17
Jordan Leborgne,SM Caen,French Ligue 1,Midfielder,75,68,73,70,55,9,0,0,0,0,0,0,0,0,0,0,6,1.3333333333,0,1,0,3,0,5,0,0,0,0,14
Jordan Veretout,Fiorentina,Italian Serie A,Midfielder,79,75,76,64,68,9,3,4,0,6,0,8,0,0,0,0,35,2.5714285714,0,5,0,4,0,8,0,0,0,0,25
Jordy Clasie,Club Brugge KV,Belgian First Division A,Midfielder,81,70,76,62,80,11,1,1,0,3,0,9,0,0,0,0,16,2.0625,0,0,0,5,0,16,0,0,0,0,22
Joris Marveaux,GFC Ajaccio,French Ligue 2,Midfielder,67,58,66,52,71,8,0,0,0,0,0,2,0,0,0,0,8,1.5,1,0,0,2,0,2,0,0,0,0,9
Jose Manuel Jurado,RCD Espanyol,Spanish Primera Division,Midfielder,82,83,79,69,40,11,3,4,0,0,0,7,0,0,0,0,32,2.6875,0,0,0,3,0,20,0,0,0,0,27
Jose Mauri,Milan,Italian Serie A,Midfielder,76,75,74,68,68,12,0,0,0,4,0,6,0,0,0,0,14,1.4285714286000002,0,0,0,2,0,3,0,0,0,0,5
Josef Martinez,Atlanta United FC,USA Major League Soccer,Midfielder,67,82,55,89,20,12,1,0,0,3,0,0,0,0,0,0,11,1.5454545455000002,3,1,0,0,0,6,0,0,0,0,21
Joshua Kimmich,FC Bayern Munich,German Bundesliga,Midfielder,85,77,80,65,79,8,6,1,0,1,0,6,0,0,0,0,27,2.7407407406999997,0,2,0,3,0,2,0,0,0,0,23
Josip Ilicic,Atalanta,Italian Serie A,Midfielder,82,83,74,72,46,13,5,3,0,2,0,17,0,2,0,0,30,2.7333333332999996,13,5,0,2,0,19,0,0,0,0,30
Josuha Guilavogui,VfL Wolfsburg,German Bundesliga,Midfielder,77,67,75,73,83,14,0,0,0,6,0,3,0,0,0,0,19,1.5789473684,2,0,0,3,0,7,0,0,0,0,30
Jota,Birmingham City,English Championship,Midfielder,74,77,73,69,29,14,0,0,0,0,0,3,0,0,0,0,5,1.6,0,0,0,1,0,3,0,0,0,0,13
Juan Cuadrado,Juventus,Italian Serie A,Midfielder,77,90,69,92,62,5,2,6,0,8,0,11,0,0,0,0,30,2.3666666667,4,5,0,2,0,4,0,0,0,0,29
Juan Mata,Manchester United,English Premier League,Midfielder,86,82,77,63,39,9,6,3,0,3,0,18,0,0,0,1,25,3.08,6,6,0,5,0,15,0,0,0,0,38
Juankar,Malaga CF,Spanish Primera Division,Midfielder,76,72,69,79,69,10,2,4,0,9,1,5,0,0,0,0,27,2.1481481481,1,2,0,1,0,4,0,0,0,0,19
Jules Iloki,FC Nantes,French Ligue 1,Midfielder,65,73,56,79,28,15,1,4,0,2,0,13,0,0,0,0,23,2.3043478261000003,2,1,0,2,0,7,0,0,0,0,22
Julian Baumgartlinger,Bayer 04 Leverkusen,German Bundesliga,Midfielder,78,65,71,73,78,9,0,1,0,1,0,6,0,0,0,1,22,1.8181818182,2,1,0,7,0,0,0,0,0,0,31
Julian Brandt,Bayer 04 Leverkusen,German Bundesliga,Midfielder,81,87,68,83,29,11,3,8,0,0,0,14,0,0,0,0,32,3.0,9,3,0,0,0,11,0,0,0,0,29
